source_id,date,frp,normal_frp,ratio,industry_name,region
korba_22.3323_82.5337,2025-05-10,7.1,0.92,7.68,Dipka Open Cast Mine,korba
korba_22.3570_82.3006,2025-02-14,16.15,2.11,7.65,,korba
korba_21.6704_82.5822,2025-01-16,48.98,6.42,7.63,,korba
korba_22.3570_82.3006,2025-01-10,16.08,2.11,7.62,,korba
singrauli_24.1825_82.6579,2025-05-10,8.67,1.14,7.61,Jayant Mine,singrauli
korba_22.3289_82.5940,2025-12-28,13.32,1.76,7.57,Gevra Open Cast Mine,korba
korba_22.0939_83.1194,2025-04-16,10.81,1.43,7.56,Chhal Coal Mine,korba
korba_21.8925_82.7421,2025-12-18,42.24,5.59,7.56,Prakash Industries Steel Plant,korba
singrauli_24.1788_82.5590,2025-05-19,10.15,1.35,7.55,Block - B coal mine,singrauli
korba_22.3570_82.3006,2025-11-25,15.82,2.11,7.5,,korba
korba_21.6761_83.0119,2025-01-28,49.86,6.68,7.46,,korba
korba_21.9254_82.3691,2025-12-31,36.26,4.87,7.45,AKALTARA TPP,korba
korba_22.3364_82.5534,2025-05-30,5.2,0.7,7.43,Gevra Open Cast Mine,korba
punjab_30.7631_75.3168,2025-05-16,48.71,6.58,7.4,Grandfather Food Processing,punjab
korba_22.3289_82.5940,2025-04-26,13.02,1.76,7.4,Gevra Open Cast Mine,korba
korba_21.8869_83.2194,2025-12-30,32.33,4.4,7.35,Baradarha Power Station,korba
korba_21.6707_82.3327,2025-03-26,44.73,6.1,7.33,,korba
korba_21.8277_82.9403,2025-12-30,25.14,3.43,7.33,,korba
punjab_30.4251_75.9966,2025-05-12,40.54,5.54,7.31,,punjab
singrauli_24.1641_82.6218,2025-01-18,10.38,1.42,7.31,Nigahi Mine,singrauli
korba_22.3364_82.5534,2025-04-26,5.11,0.7,7.3,Gevra Open Cast Mine,korba
singrauli_24.1641_82.6218,2025-01-25,10.34,1.42,7.28,Nigahi Mine,singrauli
korba_22.3570_82.3006,2025-11-26,15.33,2.11,7.27,,korba
korba_22.0126_82.8510,2025-01-20,29.34,4.06,7.22,,korba
korba_21.6769_82.9309,2025-01-20,34.52,4.79,7.21,,korba
singrauli_24.1590_82.6717,2025-05-27,9.08,1.26,7.21,Dudhichua Mine,singrauli
singrauli_24.1825_82.6579,2025-05-13,8.2,1.14,7.19,Jayant Mine,singrauli
punjab_30.2607_75.9083,2025-05-12,42.59,5.94,7.17,,punjab
singrauli_24.1445_82.6350,2025-05-10,9.7,1.37,7.11,Nigahi Mine,singrauli
korba_22.3323_82.5337,2025-05-14,6.58,0.92,7.11,Dipka Open Cast Mine,korba
singrauli_24.1641_82.6218,2025-01-30,10.09,1.42,7.11,Nigahi Mine,singrauli
korba_22.0484_82.6914,2025-01-07,36.72,5.17,7.1,Prakash Industries Steel Plant,korba
korba_22.3570_82.3006,2025-11-28,14.98,2.11,7.1,,korba
punjab_30.3423_75.8687,2025-04-25,35.23,4.96,7.1,Dhuri Sugar Mill,punjab
singrauli_24.1590_82.6717,2025-03-04,8.93,1.26,7.09,Dudhichua Mine,singrauli
singrauli_24.1641_82.6218,2025-01-21,10.03,1.42,7.06,Nigahi Mine,singrauli
singrauli_24.1505_82.5672,2025-04-27,14.93,2.12,7.04,Block - B coal mine,singrauli
jamnagar_22.3306_69.7450,2025-05-19,11.54,1.64,7.04,Vadinar Refinery,jamnagar
punjab_30.3874_75.6225,2025-11-04,50.58,7.21,7.02,,punjab
singrauli_24.1354_82.7423,2025-04-17,7.91,1.13,7.0,Krishnashila Coal Mine,singrauli
korba_22.0356_83.3564,2025-03-30,11.73,1.68,6.98,,korba
singrauli_24.1505_82.5672,2025-04-05,14.75,2.12,6.96,Block - B coal mine,singrauli
singrauli_24.1505_82.5672,2025-04-25,14.7,2.12,6.93,Block - B coal mine,singrauli
jamnagar_22.3364_69.8674,2025-05-01,16.78,2.43,6.91,Reliance Refinery,jamnagar
singrauli_24.1825_82.6579,2025-05-17,7.85,1.14,6.89,Jayant Mine,singrauli
singrauli_24.1788_82.5590,2025-10-12,9.23,1.35,6.86,Block - B coal mine,singrauli
singrauli_24.1302_82.6199,2025-03-29,8.05,1.18,6.82,Nigahi Mine,singrauli
punjab_30.7328_75.7330,2025-05-19,30.42,4.5,6.76,,punjab
singrauli_24.1505_82.5672,2025-05-19,14.23,2.12,6.71,Block - B coal mine,singrauli
korba_22.3173_82.5347,2025-03-30,10.3,1.54,6.69,Dipka Open Cast Mine,korba
korba_22.3289_82.5940,2025-05-10,11.76,1.76,6.68,Gevra Open Cast Mine,korba
korba_22.3225_82.6744,2025-02-08,5.66,0.85,6.66,Kusmunda Open Cast Mine,korba
singrauli_24.1445_82.6350,2025-05-13,9.03,1.37,6.62,Nigahi Mine,singrauli
jamnagar_22.3364_69.8674,2025-05-02,16.0,2.43,6.58,Reliance Refinery,jamnagar
singrauli_24.1641_82.6218,2025-01-14,9.28,1.42,6.54,Nigahi Mine,singrauli
korba_21.6253_83.0235,2025-12-29,29.32,4.48,6.54,,korba
korba_22.3570_82.3006,2025-01-03,13.8,2.11,6.54,,korba
korba_21.6722_82.7577,2025-12-29,30.81,4.72,6.53,,korba
korba_22.3289_82.5940,2025-05-19,11.5,1.76,6.53,Gevra Open Cast Mine,korba
punjab_30.4964_75.3407,2025-05-16,44.99,6.9,6.52,,punjab
singrauli_24.1505_82.5672,2025-04-20,13.81,2.12,6.51,Block - B coal mine,singrauli
singrauli_24.1445_82.6350,2025-05-18,8.88,1.37,6.51,Nigahi Mine,singrauli
singrauli_24.1445_82.6350,2025-05-16,8.85,1.37,6.48,Nigahi Mine,singrauli
korba_22.3570_82.3006,2025-01-12,13.57,2.11,6.43,,korba
korba_21.9035_82.5092,2025-12-29,29.86,4.65,6.42,,korba
singrauli_24.1641_82.6218,2025-01-26,9.08,1.42,6.39,Nigahi Mine,singrauli
singrauli_24.1428_82.6776,2025-06-13,6.51,1.02,6.38,Dudhichua Mine,singrauli
korba_22.1121_82.3632,2025-01-07,28.25,4.43,6.37,SIPAT STPS,korba
korba_22.3570_82.3006,2025-03-26,13.42,2.11,6.36,,korba
korba_21.6603_83.3688,2025-12-20,31.4,4.96,6.34,,korba
korba_22.3289_82.5940,2025-02-15,11.11,1.76,6.31,Gevra Open Cast Mine,korba
singrauli_24.1390_82.7038,2025-12-04,6.84,1.08,6.3,Khadia Mine,singrauli
singrauli_24.1505_82.5672,2025-05-17,13.34,2.12,6.29,Block - B coal mine,singrauli
korba_22.3570_82.3006,2025-01-02,13.25,2.11,6.28,,korba
korba_22.3570_82.3006,2025-01-15,13.22,2.11,6.27,,korba
korba_21.8784_82.6595,2025-12-24,29.32,4.68,6.26,Prakash Industries Steel Plant,korba
korba_21.7584_82.7010,2025-12-28,37.18,5.94,6.26,,korba
singrauli_24.1390_82.7038,2025-12-09,6.77,1.08,6.24,Khadia Mine,singrauli
korba_21.9035_82.5092,2025-12-24,28.97,4.65,6.23,,korba
